random_label;slide #;Intersect #;Coils;Hyphae;Spikes;no colonization;roots_crossed
1;1;1;0;0;0;0;0
1;1;2;1;1;1;1;2
1;1;3;3;1;2;9;12
1;1;4;2;3;1;12;14
1;1;5;0;0;0;8;8
1;1;6;0;1;0;5;5
1;1;7;0;0;0;1;1
1;1;8;0;0;0;0;0
1;1;9;0;0;0;2;2
1;1;10;2;3;1;6;8
1;1;11;5;4;2;9;14
1;1;12;6;5;1;7;13
1;1;13;8;10;1;8;16
1;1;14;2;3;0;5;7
1;1;15;1;1;0;5;6
1;1;16;1;2;0;2;3
1;1;17;0;0;0;0;0
1;1;18;0;0;0;0;0
1;1;19;0;0;0;0;0
1;1;20;0;0;0;0;0
1;2;21;0;0;0;2;2
1;2;22;3;1;0;0;3
1;2;23;2;1;0;4;6
1;2;24;1;2;0;4;5
1;2;25;4;0;0;9;13
1;2;26;1;0;0;6;7
1;2;27;0;0;0;1;1
1;2;28;0;0;0;1;1
1;2;29;0;0;0;0;0
1;2;30;0;0;0;0;0
1;2;31;0;0;0;0;0
1;2;32;2;2;0;2;4
1;2;33;4;3;0;5;9
1;2;34;6;5;2;7;13
1;2;35;5;4;4;5;10
1;2;36;4;5;0;1;5
1;2;37;0;0;0;0;0
1;2;38;0;0;0;0;0
1;2;39;0;0;0;0;0
1;2;40;0;0;0;0;0
3;1;1;0;0;0;0;0
3;1;2;0;0;0;3;3
3;1;3;0;0;0;12;12
3;1;4;1;0;0;8;9
3;1;5;0;0;0;8;8
3;1;6;0;0;0;5;5
3;1;7;0;0;0;4;4
3;1;8;0;0;0;4;4
3;1;9;0;0;0;3;3
3;1;10;0;0;0;2;2
3;1;11;0;0;0;1;1
3;1;12;0;0;0;0;0
3;1;13;0;0;0;1;1
3;1;14;0;0;0;1;1
3;1;15;0;0;0;1;1
3;1;16;0;0;0;4;4
3;1;17;0;0;0;9;9
3;1;18;0;0;0;11;11
3;1;19;0;0;0;12;12
3;1;20;0;0;0;8;8
3;1;21;0;0;0;7;7
3;1;22;0;0;0;12;12
3;1;23;0;0;0;13;13
3;1;24;0;0;0;8;8
3;1;25;0;0;0;0;0
3;1;26;0;0;0;0;0
3;1;27;0;0;0;0;0
3;1;28;0;0;0;0;0
3;1;29;0;0;0;0;0
3;1;30;0;0;0;0;0
3;1;31;0;0;0;0;0
3;1;32;0;0;0;0;0
3;1;33;0;0;0;0;0
3;1;34;0;0;0;0;0
3;1;35;0;0;0;0;0
3;1;36;0;0;0;0;0
3;1;37;0;0;0;0;0
3;1;38;0;0;0;0;0
3;1;39;0;0;0;0;0
3;1;40;0;0;0;0;0
4;1;1;1;0;0;1;2
4;1;2;3;1;0;8;11
4;1;3;3;2;0;10;13
4;1;4;7;2;0;11;18
4;1;5;4;0;0;5;9
4;1;6;0;0;0;4;4
4;1;7;1;0;0;4;5
4;1;8;0;1;0;2;2
4;1;9;0;0;0;1;1
4;1;10;0;0;0;0;0
4;1;11;1;0;0;2;3
4;1;12;1;0;0;4;5
4;1;13;3;1;0;3;6
4;1;14;4;0;0;3;7
4;1;15;2;2;0;1;3
4;1;16;1;0;0;3;4
4;1;17;9;4;0;7;16
4;1;18;1;0;0;3;4
4;1;19;2;0;0;1;3
4;1;20;3;1;0;2;5
4;2;21;0;0;0;1;1
4;2;22;0;0;0;1;1
4;2;23;2;2;0;2;4
4;2;24;2;1;0;9;11
4;2;25;2;1;0;0;2
4;2;26;1;0;0;1;2
4;2;27;2;1;0;0;2
4;2;28;2;2;0;1;3
4;2;29;1;0;0;0;1
4;2;30;0;0;0;0;0
4;2;31;0;0;0;0;0
4;2;32;0;0;0;0;0
4;2;33;1;0;0;2;3
4;2;34;0;0;0;2;2
4;2;35;3;3;0;7;10
4;2;36;4;5;0;1;5
4;2;37;0;0;0;0;0
4;2;38;0;0;0;0;0
4;2;39;0;0;0;0;0
4;2;40;0;0;0;0;0
8;1;1;0;0;0;0;0
8;1;2;5;4;0;4;9
8;1;3;5;1;0;0;5
8;1;4;5;2;0;2;7
8;1;5;5;7;0;3;8
8;1;6;2;2;0;0;2
8;1;7;1;2;0;1;2
8;1;8;0;0;0;0;0
8;1;9;1;1;0;0;1
8;1;10;4;0;0;0;4
8;1;11;4;5;0;1;5
8;1;12;6;6;0;1;7
8;1;13;3;2;0;1;4
8;1;14;1;1;0;0;1
8;1;15;0;0;0;1;1
8;1;16;0;0;0;0;0
8;1;17;0;0;0;0;0
8;1;18;0;0;0;0;0
8;1;19;0;0;0;0;0
8;1;20;0;0;0;0;0
8;2;21;0;0;0;0;0
8;2;22;3;4;0;1;4
8;2;23;7;4;0;2;9
8;2;24;6;4;0;1;7
8;2;25;3;3;0;1;4
8;2;26;1;2;0;2;3
8;2;27;2;1;0;0;2
8;2;28;2;1;0;2;4
8;2;29;0;0;0;1;1
8;2;30;0;0;0;0;0
8;2;31;0;0;0;1;1
8;2;32;1;1;0;0;1
8;2;33;2;2;0;0;2
8;2;34;1;1;0;0;1
8;2;35;0;0;0;0;0
8;2;36;0;0;0;0;0
8;2;37;0;0;0;0;0
8;2;38;0;0;0;0;0
8;2;39;0;0;0;0;0
8;2;40;0;0;0;0;0
26;1;1;0;0;0;0;0
26;1;2;0;0;0;8;8
26;1;3;1;1;0;21;22
26;1;4;0;1;0;14;14
26;1;5;0;1;0;8;8
26;1;6;0;0;0;1;1
26;1;7;0;0;0;0;0
26;1;8;0;0;0;0;0
26;1;9;0;0;0;4;4
26;1;10;1;0;0;4;5
26;1;11;1;0;0;12;13
26;1;12;0;0;0;5;5
26;1;13;0;0;0;6;6
26;1;14;0;0;0;4;4
26;1;15;0;0;0;6;6
26;1;16;0;0;0;6;6
26;1;17;0;0;0;3;3
26;1;18;0;0;0;0;0
26;1;19;0;0;0;0;0
26;1;20;0;0;0;0;0
26;2;21;0;0;0;2;2
26;2;22;0;0;0;8;8
26;2;23;3;0;0;12;15
26;2;24;2;0;0;11;13
26;2;25;1;0;0;7;8
26;2;26;1;0;0;5;6
26;2;27;0;0;0;6;6
26;2;28;0;0;0;3;3
26;2;29;0;0;0;0;0
26;2;30;1;0;0;4;5
26;2;31;0;0;0;12;12
26;2;32;1;0;0;23;24
26;2;33;0;0;0;8;8
26;2;34;0;0;0;6;6
26;2;35;0;0;0;0;0
26;2;36;0;0;0;0;0
26;2;37;0;0;0;0;0
26;2;38;0;0;0;0;0
26;2;39;0;0;0;0;0
26;2;40;0;0;0;0;0
60;1;1;0;0;0;0;0
60;1;2;0;0;0;4;4
60;1;3;1;0;0;23;24
60;1;4;0;0;0;11;11
60;1;5;0;0;0;10;10
60;1;6;0;0;0;4;4
60;1;7;0;0;0;0;0
60;1;8;0;0;0;0;0
60;1;9;0;0;0;0;0
60;1;10;0;0;0;8;8
60;1;11;0;0;0;16;16
60;1;12;0;0;0;13;13
60;1;13;0;0;0;6;6
60;1;14;0;0;0;1;1
60;1;15;0;0;0;0;0
60;1;16;0;0;0;0;0
60;1;17;0;0;0;0;0
60;1;18;0;0;0;0;0
60;1;19;0;0;0;0;0
60;1;20;0;0;0;0;0
60;2;21;0;0;0;0;0
60;2;22;0;0;0;3;3
60;2;23;0;0;0;6;6
60;2;24;0;0;0;10;10
60;2;25;0;0;0;4;4
60;2;26;0;0;0;8;8
60;2;27;0;0;0;2;2
60;2;28;0;0;0;1;1
60;2;29;0;0;0;2;2
60;2;30;0;0;0;0;0
60;2;31;0;0;0;0;0
60;2;32;0;0;0;0;0
60;2;33;0;0;0;2;2
60;2;34;0;0;0;5;5
60;2;35;0;0;0;4;4
60;2;36;0;0;0;3;3
60;2;37;0;0;0;2;2
60;2;38;0;0;0;0;0
60;2;39;0;0;0;0;0
60;2;40;0;0;0;0;0
61;1;1;0;0;0;0;0
61;1;2;0;0;0;1;1
61;1;3;0;0;0;5;5
61;1;4;0;0;0;8;8
61;1;5;1;0;0;10;11
61;1;6;0;0;0;15;15
61;1;7;0;0;0;7;7
61;1;8;1;0;0;2;3
61;1;9;0;0;0;0;0
61;1;10;0;0;0;0;0
61;1;11;0;0;0;0;0
61;1;12;0;0;0;2;2
61;1;13;0;0;0;13;13
61;1;14;0;0;0;13;13
61;1;15;0;0;0;8;8
61;1;16;0;0;0;8;8
61;1;17;0;0;0;5;5
61;1;18;0;0;0;5;5
61;1;19;0;0;0;2;2
61;1;20;0;0;0;0;0
61;2;21;0;0;0;0;0
61;2;22;0;0;0;4;4
61;2;23;0;0;0;15;15
61;2;24;1;0;0;12;13
61;2;25;0;0;0;13;13
61;2;26;0;0;0;8;8
61;2;27;0;0;0;5;5
61;2;28;0;0;0;3;3
61;2;29;0;0;0;1;1
61;2;30;0;0;0;0;0
61;2;31;0;0;0;0;0
61;2;32;0;0;0;1;1
61;2;33;0;0;0;7;7
61;2;34;0;0;0;11;11
61;2;35;0;0;0;13;13
61;2;36;0;0;0;12;12
61;2;37;0;0;0;10;10
61;2;38;0;0;0;7;7
61;2;39;0;0;0;0;0
61;2;40;0;0;0;0;0
65;1;1;0;0;0;1;1
65;1;2;0;0;0;7;7
65;1;3;0;1;0;10;10
65;1;4;3;0;0;12;15
65;1;5;2;3;0;16;18
65;1;6;1;0;0;12;13
65;1;7;1;0;0;6;7
65;1;8;0;0;0;4;4
65;1;9;0;0;0;3;3
65;1;10;0;0;0;4;4
65;1;11;0;0;0;0;0
65;1;12;0;0;0;0;0
65;1;13;0;0;0;0;0
