random_label;unique_id;plant_sp;fungal_sp;replicate;treatment;block;Height.t0;Height.t1;t1.t0;Dead.Sick;blockx;#cassette;total_root_wet;small_subsample_wet;large_subsample_wet;large_subsample_dry;total_root_dry;shoot_weight
1;399;GSH;OMA;4;45;7;0,6;2,6;2;;1;1;0,0616;0,0616;0;;;0,0061
2;197;RFE;MEV;9;21;1;0,4;3;2,6;;1;2;0,0005;0,0005;0;;;
3;284;RAR;MEB;8;31;6;0,3;1,1;0,8;;1;3;0,0447;0,0447;0;;;0,0108
4;159;VVI;RHE;5;17;7;0,5;2,5;2;;1;4;0,0212;0,0212;0;;;0,0094
5;640;VAN;MGK;4;73;8;0,6;1,8;1,2;;1;5;0,0091;0,0091;0;;;0,0018
6;431;RFE;JPK-87;9;48;4;0,3;0,4;0,1;;1;6;0,003;;0,0011;;;0,0009
7;561;VAN;RER;3;64;6;0,4;2;1,6;;1;7;0,0252;;0,0083;0,0025;;0,0041
8;536;KLA;JPK-132;6;60;7;0,1;1,2;1,1;;1;8;0,0057;;0,0017;0,0004;;0,0052
9;453;KLA;JPK-87;1;51;2;0,3;0,7;0,4;;1;9;0,0046;0,0046;0;;;0,0011
10;307;PJA;MEB;4;34;6;1,4;2;0,6;;1;10;0,0584;;0,0255;;;0,0086
11;92;VAN;RHE;2;10;4;1,1;2,8;1,7;;1;11;0,022;;0,0086;0,0018;;0,0064
12;10;VAN;STR;10;1;8;0,6;1,1;0,5;;1;12;0,0072;;0,0041;;;0,0028
13;386;PJA;OMA;5;43;4;0,7;1;0,3;;1;13;0,0148;;0,0065;0,0016;;0,0049
14;526;VMY;JPK-132;6;59;4;2;2,6;0,6;;1;14;0,0675;;0,282;0,008;;0,0133
15;237;VVI;MEV;5;26;6;0,7;2;1,3;;1;15;0,0252;;0,0123;0,0034;;0,0105
16;145;KLA;RHE;5;15;7;0,1;1,2;1,1;;1;16;0,0114;;0,0025;0,0008;;0,0036
17;519;RAR;JPK-132;9;58;2;1,8;3,7;1,9;;1;17;0,1844;;0,0766;0,017;;0,0422
18;263;CVU;MEB;7;29;3;0,6;1,9;1,3;;1;18;0,0248;;0,0083;0,002;;0,0069
19;224;KLA;MEV;6;24;2;0,2;1;0,8;;1;19;0,0114;;0,005;0,0012;;0,0018
20;375;KLA;OMA;1;42;1;0,6;0,9;0,3;;1;20;0,001;0,001;0;;;0,0012
21;672;RAR;MGK;6;76;6;0,6;2,5;1,9;;1;21;0,069;;0,0318;0,0061;;0,0225
22;467;VVI;JPK-87;1;53;5;1;1,1;0,1;;1;22;0,0066;;0,0006;;;0,0015
23;115;RFE;RHE;5;12;2;0,4;0,6;0,2;;1;23;0,01;;0,003;;;0,0019
24;346;RFE;OMA;2;39;8;0,2;0,6;0,4;;1;24;0,0052;;0,0009;0,0003;;0,0035
25;557;GSH;JPK-132;6;63;5;2;7,7;5,7;;1;25;0,1929;;0,0964;0,0151;;0,0239
26;651;CVU;MGK;5;74;6;0,2;2,3;2,1;;1;26;0,0496;;0,0183;0,0035;;0,0105
27;247;VAN;MEB;1;28;1;0,7;0,9;0,2;;1;27;0,0072;;0,0031;0,001;;0,0007
28;200;RAR;MEV;2;22;5;0,6;2,8;2,2;;1;28;0,0981;;0,0656;0,009;;0,0236
29;360;RAR;OMA;6;40;8;0,5;2,2;1,7;;1;29;0,0198;;0,0087;0,0013;;0,0082
30;302;KLA;MEB;6;33;2;0,6;0,6;0;;1;30;0,0025;0,0025;0;;;0,0029
31;178;VAN;MEV;10;19;4;0,6;1,5;0,9;;1;31;0,0162;;0,0084;0,0018;;0,0011
32;592;RAR;RER;4;67;3;0,7;1,7;1;;1;32;0,0093;;0,0033;0,0009;;0,004
33;316;VVI;MEB;6;35;7;0,8;1,2;0,4;?;1;33;0,001;;0,0005;;;0,0005
34;612;KLA;RER;4;69;6;0,7;1,1;0,4;;1;34;0,0136;;0,0055;0,0013;;0,0039
35;619;PJA;RER;4;70;5;1,3;2,9;1,6;;1;35;0,0879;;0,0526;0,0138;;0,0183
36;665;RFE;MGK;9;75;4;0,5;0,8;0,3;;1;36;0,0041;;0,0015;;;0,001
37;139;VMY;RHE;9;14;8;1,5;1,6;0,1;;1;37;0,0223;;0,008;0,0017;;0,0107
38;480;GSH;JPK-87;7;54;3;2;1,4;-0,6;;1;38;0,0108;;0,0061;0,0012;;0,0026
39;54;KLA;STR;4;6;3;0,1;0,7;0,6;;1;39;0,0037;;0,0008;;;0,0014
