unique_id;plant_sp;fungal_sp;replicate;treatment;block;Height t0;Height t1;Dead/Sick
260;CVU;MEB;4;29;1;0,2;0,2;
653;CVU;MGK;7;74;1;0,7;2;
496;CVU;JPK-132;6;56;1;1,1;2,4;
187;CVU;MEV;9;20;1;0,6;1,5;
14;CVU;STR;4;2;1;0,5;0,6;
576;CVU;RER;8;65;1;1,1;4,8;
418;CVU;JPK-87;6;47;1;0,6;1;
257;CVU;MEB;1;29;3;;0,6;
344;CVU;OMA;10;38;1;0,6;0,6;
259;CVU;MEB;3;29;1;0,5;1,5;
179;CVU;MEV;1;20;2;1;3;
17;CVU;STR;7;2;2;1,1;1,9;
338;CVU;OMA;4;38;2;0,8;1,1;
417;CVU;JPK-87;5;47;3;0,5;0,5;
258;CVU;MEB;2;29;2;0,4;0,9;
341;CVU;OMA;7;38;3;1,3;1,4;
104;CVU;RHE;4;11;2;0,6;1,9;
415;CVU;JPK-87;3;47;2;0,5;0,6;
422;CVU;JPK-87;10;47;4;0,9;1,1;
494;CVU;JPK-132;4;56;2;1;4;
569;CVU;RER;1;65;2;1;2,4;
647;CVU;MGK;1;74;2;0,3;2,1;
419;CVU;JPK-87;7;47;2;0,6;1,5;
265;CVU;MEB;9;29;5;;;*
16;CVU;STR;6;2;4;0,7;0,5;
499;CVU;JPK-132;9;56;8;0,6;0,8;
184;CVU;MEV;6;20;3;0,9;3,1;
263;CVU;MEB;7;29;3;0,6;1,9;
652;CVU;MGK;6;74;3;0,5;2,9;
571;CVU;RER;3;65;3;0,2;2,7;
109;CVU;RHE;9;11;3;0,7;1;
491;CVU;JPK-132;1;56;3;0,5;1,5;
649;CVU;MGK;3;74;3;0,5;2,5;
105;CVU;RHE;5;11;1;;;*
181;CVU;MEV;3;20;4;0,5;2,3;
575;CVU;RER;7;65;4;0,4;1,7;
492;CVU;JPK-132;2;56;4;0,6;2,6;
261;CVU;MEB;5;29;4;0,3;0,9;
337;CVU;OMA;3;38;4;0,6;2;
654;CVU;MGK;8;74;4;0,5;1,1;
103;CVU;RHE;3;11;4;0,3;2,1;
107;CVU;RHE;7;11;4;0,5;0,4;
186;CVU;MEV;8;20;4;0,3;1,5;
108;CVU;RHE;8;11;6;;0,1;
572;CVU;RER;4;65;5;0,6;1,1;
650;CVU;MGK;4;74;5;0,2;1,6;
102;CVU;RHE;2;11;5;0,7;0,7;
11;CVU;STR;1;2;5;0,5;0,7;
493;CVU;JPK-132;3;56;5;0,7;1,9;
182;CVU;MEV;4;20;5;0,8;2,1;
343;CVU;OMA;9;38;5;0,5;0,9;
416;CVU;JPK-87;4;47;5;0,7;0,7;
498;CVU;JPK-132;8;56;5;0,7;3,3;
262;CVU;MEB;6;29;6;0,7;0,7;
577;CVU;RER;9;65;6;0,5;3,7;
183;CVU;MEV;5;20;6;1,1;4,8;
12;CVU;STR;2;2;3;;;*
18;CVU;STR;8;2;6;0,6;3,1;
651;CVU;MGK;5;74;6;0,2;2,3;
339;CVU;OMA;5;38;6;0,6;0,6;
414;CVU;JPK-87;2;47;6;0,7;1;
497;CVU;JPK-132;7;56;6;1,2;3,5;
19;CVU;STR;9;2;6;0,4;1;
264;CVU;MEB;8;29;7;0,9;2,9;
655;CVU;MGK;9;74;7;0,9;2,1;
500;CVU;JPK-132;10;56;7;1,3;3,8;
573;CVU;RER;5;65;7;0,7;4,5;
180;CVU;MEV;2;20;7;0,8;4,5;
413;CVU;JPK-87;1;47;7;0,4;1,6;
340;CVU;OMA;6;38;7;0,7;0,9;
101;CVU;RHE;1;11;7;0,8;1;
20;CVU;STR;10;2;7;0,6;0,3;
574;CVU;RER;6;65;7;0,7;3,6;
185;CVU;MEV;7;20;8;0,4;2,8;
656;CVU;MGK;10;74;8;0,5;1,5;
